id,esm_c_max,prott5_max,protbert_max,ankh_em_max,weights,rank
AV-1,0.730151669498132,0.7389903978855894,0.6907400204509365,0.7669863208383996,0.09081233659650019,medium
AV-2,0.6506132832276366,0.655694576950609,0.604264775644936,0.6708070574635749,0.09081233659650019,medium
AV-3,0.6997684490056029,0.7208478629863554,0.658566178525386,0.7221585414614415,0.09081233659650019,medium
AD-2,0.735976095414247,0.6987651534079949,0.6572750767882118,0.6943727033674296,0.2468535243701728,hard
AV-5,0.5871366357754886,0.5465835771171136,0.309198622480872,0.5503534702319005,0.2468535243701728,hard
AV-6,0.8657128729561341,0.8717689503954352,0.8598207382938907,0.8679909486414672,0.03340799163859341,easy
AV-7,0.7132587460917047,0.6962584385588643,0.7322179515960625,0.7219567331071901,0.03340799163859341,easy
AV-8,0.8277520055164482,0.8221489912650926,0.8407458205326132,0.8465785934903473,0.03340799163859341,easy
AV-9,0.8314653636636514,0.8112755083770622,0.8412144104037402,0.8524303097750755,0.03340799163859341,easy
AV-10,0.822577583778005,0.8800859615321815,0.8442653343689042,0.8730861710072766,0.03340799163859341,easy
AV-11,0.8783231797859041,0.9241836095512198,0.8877459925142495,0.9081166696773082,0.03340799163859341,easy
AV-12,0.8445495566436636,0.8174608779202865,0.7878240208916004,0.8251272979296166,0.03340799163859341,easy
